event,window,n_test,n_pos,AUC_PRC,recall,FAR,lead_time_h,thr,featset,horizon
COVID_2020,2020-03-05~2020-03-25,481,21,0.145,0.81,0.2848,176.0,0.0,A,1
UST_2022,2022-05-05~2022-05-20,361,12,0.339,1.0,0.1375,126.0,0.0,A,1
SVB_2023,2023-02-15~2023-04-15,813,75,0.807,0.707,0.0203,0.0,0.0,A,1
COVID_2020,2020-03-05~2020-03-25,481,40,0.149,1.0,0.5941,175.0,0.0,A,6
UST_2022,2022-05-05~2022-05-20,361,17,0.48,1.0,0.1599,48.0,0.0,A,6
SVB_2023,2023-02-15~2023-04-15,813,83,0.867,0.867,0.0493,0.0,0.0,A,6
COVID_2020,2020-03-05~2020-03-25,481,94,0.318,0.777,0.3333,167.0,0.0,A,24
UST_2022,2022-05-05~2022-05-20,361,35,0.508,0.771,0.2025,33.0,0.0,A,24
SVB_2023,2023-02-15~2023-04-15,813,89,0.582,0.461,0.0331,0.0,0.0,A,24
COVID_2020,2020-03-05~2020-03-25,481,21,0.203,0.81,0.1413,90.0,0.0,A+B,1
UST_2022,2022-05-05~2022-05-20,361,12,0.226,0.667,0.0831,32.0,0.0,A+B,1
SVB_2023,2023-02-15~2023-04-15,813,75,0.828,0.84,0.0352,0.0,0.0,A+B,1
COVID_2020,2020-03-05~2020-03-25,481,40,0.163,0.875,0.3719,153.0,0.0,A+B,6
UST_2022,2022-05-05~2022-05-20,361,17,0.604,1.0,0.1366,52.0,0.0,A+B,6
SVB_2023,2023-02-15~2023-04-15,813,83,0.838,0.964,0.1082,0.0,0.0,A+B,6
COVID_2020,2020-03-05~2020-03-25,481,94,0.287,0.489,0.2842,153.0,0.0,A+B,24
UST_2022,2022-05-05~2022-05-20,361,35,0.407,0.886,0.1994,43.0,0.0,A+B,24
SVB_2023,2023-02-15~2023-04-15,813,89,0.506,0.191,0.011,-26.0,0.0,A+B,24
