event,window,n_test,n_pos,AUC_PRC,recall,FAR,lead_time_h,thr,featset,horizon
UST_2022,2022-05-05~2022-05-20,361,6,0.412,1.0,0.0873,18.0,0.0,A,1
SVB_2023,2023-02-15~2023-04-15,813,40,0.595,0.275,0.0129,-17.0,0.0,A,1
UST_2022,2022-05-05~2022-05-20,361,11,0.541,1.0,0.0743,18.0,0.0,A,6
SVB_2023,2023-02-15~2023-04-15,813,40,0.502,0.75,0.0582,0.0,0.0,A,6
UST_2022,2022-05-05~2022-05-20,361,29,0.558,0.828,0.0392,18.0,0.0,A,24
SVB_2023,2023-02-15~2023-04-15,813,40,0.327,0.35,0.0323,0.0,0.0,A,24
UST_2022,2022-05-05~2022-05-20,361,6,0.341,0.167,0.0113,-3.0,0.001,A+B,1
SVB_2023,2023-02-15~2023-04-15,813,40,0.674,0.4,0.0103,-1.0,0.0,A+B,1
UST_2022,2022-05-05~2022-05-20,361,11,0.464,0.091,0.0114,-3.0,0.001,A+B,6
SVB_2023,2023-02-15~2023-04-15,813,40,0.475,0.725,0.0414,0.0,0.0,A+B,6
UST_2022,2022-05-05~2022-05-20,361,29,0.522,0.034,0.012,-3.0,0.001,A+B,24
SVB_2023,2023-02-15~2023-04-15,813,40,0.206,0.25,0.0323,-17.0,0.0,A+B,24
