test_year,n_test,n_pos,AUC_PRC,recall,FAR,thr,featset,horizon
2021,8705,0,,,,,A,1
2022,6434,12,0.256,1.0,0.0349,0.0,A,1
2023,7076,75,0.794,0.693,0.0017,0.0,A,1
2024,8784,0,,,,,A,1
2025,8760,0,,,,,A,1
2026,4540,0,,,,,A,1
2021,8705,0,,,,,A,6
2022,6434,17,0.08,0.471,0.0352,0.0,A,6
2023,7076,83,0.881,0.771,0.0014,0.0,A,6
2024,8784,0,,,,,A,6
2025,8760,0,,,,,A,6
2026,4540,0,,,,,A,6
2021,8705,0,,,,,A,24
2022,6434,35,0.193,0.657,0.0175,0.0,A,24
2023,7076,89,0.257,0.09,0.0027,0.001,A,24
2024,8784,0,,,,,A,24
2025,8760,0,,,,,A,24
2026,4540,0,,,,,A,24
2021,8705,0,,,,,A+B,1
2022,6434,12,0.195,0.917,0.0325,0.0,A+B,1
2023,7076,75,0.841,0.6,0.0013,0.0,A+B,1
2024,8784,0,,,,,A+B,1
2025,8760,0,,,,,A+B,1
2026,4540,0,,,,,A+B,1
2021,8705,0,,,,,A+B,6
2022,6434,17,0.117,0.588,0.0427,0.0,A+B,6
2023,7076,83,0.782,0.651,0.0049,0.0,A+B,6
2024,8784,0,,,,,A+B,6
2025,8760,0,,,,,A+B,6
2026,4540,0,,,,,A+B,6
2021,8705,0,,,,,A+B,24
2022,6434,35,0.246,0.857,0.1088,0.0,A+B,24
2023,7076,89,0.044,0.022,0.0011,0.0,A+B,24
2024,8784,0,,,,,A+B,24
2025,8760,0,,,,,A+B,24
2026,4540,0,,,,,A+B,24
