test_year,n_test,n_pos,AUC_PRC,recall,FAR,thr,featset,horizon
2023,7076,40,0.555,0.975,0.0101,0.0,A,1
2024,8784,0,,,,,A,1
2025,8760,0,,,,,A,1
2026,4540,0,,,,,A,1
2023,7076,40,0.542,0.875,0.0088,0.0,A,6
2024,8784,0,,,,,A,6
2025,8760,0,,,,,A,6
2026,4540,0,,,,,A,6
2023,7076,40,0.219,0.675,0.025,0.0,A,24
2024,8784,0,,,,,A,24
2025,8760,0,,,,,A,24
2026,4540,0,,,,,A,24
2023,7076,40,0.627,0.9,0.0043,0.0,A+B,1
2024,8784,0,,,,,A+B,1
2025,8760,0,,,,,A+B,1
2026,4540,0,,,,,A+B,1
2023,7076,40,0.399,0.425,0.0037,0.0,A+B,6
2024,8784,0,,,,,A+B,6
2025,8760,0,,,,,A+B,6
2026,4540,0,,,,,A+B,6
2023,7076,40,0.175,0.3,0.0072,0.0,A+B,24
2024,8784,0,,,,,A+B,24
2025,8760,0,,,,,A+B,24
2026,4540,0,,,,,A+B,24
